,base,clouds,cod,coord,dt,id,main,name,rain,sys,timezone,weather,wind,visibility
22,stations,{'all': 75},200.0,"{'lon': 147.33, 'lat': -42.88}",1563235255.0,2163355.0,"{'temp': 12.14, 'pressure': 1009, 'humidity': 58, 'temp_min': 11.11, 'temp_max': 13}",Hobart,,"{'type': 1, 'id': 9545, 'message': 0.007, 'country': 'AU', 'sunrise': 1563226617, 'sunset': 1563260157}",36000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]","{'speed': 6.2, 'deg': 240}",10000.0
23,stations,{'all': 60},200.0,"{'lon': 161.3, 'lat': 68.75}",1563235526.0,2126199.0,"{'temp': 10.31, 'pressure': 1005.52, 'humidity': 55, 'temp_min': 10.31, 'temp_max': 10.31, 'sea_level': 1005.52, 'grnd_level': 1005.22}",Cherskiy,,"{'message': 0.007, 'country': 'RU', 'sunrise': 0, 'sunset': 0}",39600.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]","{'speed': 6.89, 'deg': 271.172}",
24,stations,{'all': 79},200.0,"{'lon': -170.99, 'lat': 65.58}",1563235529.0,4031637.0,"{'temp': 20.81, 'pressure': 1004.41, 'humidity': 45, 'temp_min': 20.81, 'temp_max': 20.81, 'sea_level': 1004.41, 'grnd_level': 965.33}",Lavrentiya,,"{'message': 0.0096, 'country': 'RU', 'sunrise': 1563282862, 'sunset': 1563356716}",43200.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]","{'speed': 0.91, 'deg': 305.148}",
25,stations,{'all': 75},200.0,"{'lon': 38.73, 'lat': 8.96}",1563235513.0,344979.0,"{'temp': 13, 'pressure': 1026, 'humidity': 93, 'temp_min': 13, 'temp_max': 13}",Lebu,,"{'type': 1, 'id': 2453, 'message': 0.0069, 'country': 'ET', 'sunrise': 1563246784, 'sunset': 1563292121}",10800.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]","{'speed': 2.1, 'deg': 260}",10000.0
26,stations,{'all': 100},200.0,"{'lon': -1.69, 'lat': 6.21}",1563235872.0,2296606.0,"{'temp': 21.21, 'pressure': 1013.04, 'humidity': 97, 'temp_min': 21.21, 'temp_max': 21.21, 'sea_level': 1013.04, 'grnd_level': 996.73}",Obuasi,,"{'message': 0.013, 'country': 'GH', 'sunrise': 1563256752, 'sunset': 1563301557}",0.0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]","{'speed': 1.41, 'deg': 244.381}",
27,stations,{'all': 9},200.0,"{'lon': 80.43, 'lat': 47.96}",1563235590.0,1525988.0,"{'temp': 16.41, 'pressure': 1005.49, 'humidity': 62, 'temp_min': 16.41, 'temp_max': 16.41, 'sea_level': 1005.49, 'grnd_level': 914.41}",Ayagoz,,"{'message': 0.0135, 'country': 'KZ', 'sunrise': 1563231288, 'sunset': 1563287600}",21600.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 8.36, 'deg': 11.456}",
28,stations,{'all': 40},200.0,"{'lon': -70.91, 'lat': -53.16}",1563235498.0,3874787.0,"{'temp': 4.47, 'pressure': 986, 'humidity': 86, 'temp_min': 4, 'temp_max': 5}",Punta Arenas,,"{'type': 1, 'id': 8487, 'message': 0.0057, 'country': 'CL', 'sunrise': 1563194975, 'sunset': 1563223749}",-10800.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]","{'speed': 5.7, 'deg': 340}",10000.0
29,stations,{'all': 0},200.0,"{'lon': 40.92, 'lat': 34.45}",1563235872.0,174448.0,"{'temp': 23.91, 'pressure': 1004.3, 'humidity': 57, 'temp_min': 23.91, 'temp_max': 23.91, 'sea_level': 1004.3, 'grnd_level': 971.96}",Abu Kamal,,"{'message': 0.0071, 'country': 'SY', 'sunrise': 1563243309, 'sunset': 1563294546}",10800.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 5.42, 'deg': 298.181}",
30,stations,{'all': 14},200.0,"{'lon': 130.99, 'lat': -25.24}",1563235210.0,6355222.0,"{'temp': 6, 'pressure': 1029, 'humidity': 75, 'temp_min': 6, 'temp_max': 6}",Yulara,,"{'type': 1, 'id': 9487, 'message': 0.0094, 'country': 'AU', 'sunrise': 1563228033, 'sunset': 1563266585}",34200.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]","{'speed': 3.6, 'deg': 140}",10000.0
31,stations,{'all': 0},200.0,"{'lon': 71.64, 'lat': 48.68}",1563235872.0,1526041.0,"{'temp': 20.51, 'pressure': 1006.54, 'humidity': 38, 'temp_min': 20.51, 'temp_max': 20.51, 'sea_level': 1006.54, 'grnd_level': 944.23}",Atasu,,"{'message': 0.0086, 'country': 'KZ', 'sunrise': 1563233221, 'sunset': 1563289887}",21600.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 4.08, 'deg': 118.688}",
